text,label,start_char,end_char,source_url
23 January 2024,DATE,36024,36039,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Partenaires de Paris 2024,ORG,36046,36071,https://en.wikipedia.org/wiki/2024_Summer_Olympics
20 February 2024,DATE,36128,36144,https://en.wikipedia.org/wiki/2024_Summer_Olympics
10 May 2016,DATE,36268,36279,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Owen,PERSON,36313,36317,https://en.wikipedia.org/wiki/2024_Summer_Olympics
19 November 2019,DATE,36326,36342,https://en.wikipedia.org/wiki/2024_Summer_Olympics
EDF,ORG,36346,36349,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Airbnb,ORG,36409,36415,https://en.wikipedia.org/wiki/2024_Summer_Olympics
15 August 2021,DATE,36471,36485,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Morgan,PERSON,36518,36524,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Liam,PERSON,36526,36530,https://en.wikipedia.org/wiki/2024_Summer_Olympics
1 October 2020,DATE,36532,36546,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Orange,ORG,36550,36556,https://en.wikipedia.org/wiki/2024_Summer_Olympics
28 August 2021,DATE,36655,36669,https://en.wikipedia.org/wiki/2024_Summer_Olympics
14 July 2021,DATE,36716,36728,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Sanofi,ORG,36749,36755,https://en.wikipedia.org/wiki/2024_Summer_Olympics
15 February 2022,DATE,36855,36871,https://en.wikipedia.org/wiki/2024_Summer_Olympics
15 April 2021,DATE,36915,36928,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Cisco,ORG,36949,36954,https://en.wikipedia.org/wiki/2024_Summer_Olympics
16 April 2021,DATE,37087,37100,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Palmer,PERSON,37106,37112,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Dan,PERSON,37114,37117,https://en.wikipedia.org/wiki/2024_Summer_Olympics
17 July 2021,DATE,37119,37131,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Decathlon,ORG,37135,37144,https://en.wikipedia.org/wiki/2024_Summer_Olympics
23 April 2019,DATE,37297,37310,https://en.wikipedia.org/wiki/2024_Summer_Olympics
France Televisions to Sub-License Olympic Games for Beijing 2022,WORK_OF_ART,37314,37378,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Discovery,ORG,37399,37408,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Variety,ORG,37411,37418,https://en.wikipedia.org/wiki/2024_Summer_Olympics
9 October 2021,DATE,37450,37464,https://en.wikipedia.org/wiki/2024_Summer_Olympics
McLean,PERSON,37495,37501,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Heather,PERSON,37503,37510,https://en.wikipedia.org/wiki/2024_Summer_Olympics
SVG Europe,ORG,37612,37622,https://en.wikipedia.org/wiki/2024_Summer_Olympics
19 April 2024,DATE,37654,37667,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Newsday,ORG,37764,37771,https://en.wikipedia.org/wiki/2024_Summer_Olympics
The Associated Press,ORG,37773,37793,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Zalcman,PERSON,37841,37848,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Fernanda Lucki,PERSON,37850,37864,https://en.wikipedia.org/wiki/2024_Summer_Olympics
BRAZIL,GPE,37969,37975,https://en.wikipedia.org/wiki/2024_Summer_Olympics
14 August 2024,DATE,38022,38036,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Jogos Olímpicos,PERSON,38066,38081,https://en.wikipedia.org/wiki/2024_Summer_Olympics
The Paris 2024 Olympic Games,EVENT,38232,38260,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Oller,PERSON,38397,38402,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Alex,PERSON,38404,38408,https://en.wikipedia.org/wiki/2024_Summer_Olympics
22 June 2024,DATE,38410,38422,https://en.wikipedia.org/wiki/2024_Summer_Olympics
4 February 2024,DATE,38593,38608,https://en.wikipedia.org/wiki/2024_Summer_Olympics
6 February 2024,DATE,38707,38722,https://en.wikipedia.org/wiki/2024_Summer_Olympics
CBC,ORG,38854,38857,https://en.wikipedia.org/wiki/2024_Summer_Olympics
23 June 2024,DATE,38859,38871,https://en.wikipedia.org/wiki/2024_Summer_Olympics
The Times of Israel,ORG,39032,39051,https://en.wikipedia.org/wiki/2024_Summer_Olympics
21 June 2024,DATE,39053,39065,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Anadolu Agency,ORG,39247,39261,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Deutsche Welle,ORG,39400,39414,https://en.wikipedia.org/wiki/2024_Summer_Olympics
28 June 2024,DATE,39484,39496,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Pathak,PERSON,39502,39508,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Manasi,PERSON,39510,39516,https://en.wikipedia.org/wiki/2024_Summer_Olympics
1 March 2022,DATE,39518,39530,https://en.wikipedia.org/wiki/2024_Summer_Olympics
4 February 2023,DATE,39653,39668,https://en.wikipedia.org/wiki/2024_Summer_Olympics
13 March 2024,DATE,39769,39782,https://en.wikipedia.org/wiki/2024_Summer_Olympics
27 March 2024,DATE,39814,39827,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Zhuang,PERSON,40081,40087,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Yan,PERSON,40089,40092,https://en.wikipedia.org/wiki/2024_Summer_Olympics
17 February 2025,DATE,40273,40289,https://en.wikipedia.org/wiki/2024_Summer_Olympics
23 February 2025,DATE,40434,40450,https://en.wikipedia.org/wiki/2024_Summer_Olympics
McElwee,PERSON,40711,40718,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Joshua,PERSON,40720,40726,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Vatican,ORG,40745,40752,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Last Supper,WORK_OF_ART,40799,40810,https://en.wikipedia.org/wiki/2024_Summer_Olympics
The Holy See,ORG,40893,40905,https://en.wikipedia.org/wiki/2024_Summer_Olympics
the Paris Olympic Games,EVENT,40964,40987,https://en.wikipedia.org/wiki/2024_Summer_Olympics
recent days,DATE,41029,41040,https://en.wikipedia.org/wiki/2024_Summer_Olympics
weekend,DATE,41145,41152,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Pontone,PERSON,41197,41204,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Maya,PERSON,41206,41210,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Srivastava,PERSON,41374,41384,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Aditi,PERSON,41386,41391,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Henley,PERSON,41610,41616,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Jon,PERSON,41618,41621,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Olympic 'Last Supper,WORK_OF_ART,41639,41659,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Cérémonie d'ouverture des JO,WORK_OF_ART,41833,41861,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Daphné Bürki,PERSON,41879,41891,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Rabb,PERSON,42069,42073,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Maxwell,PERSON,42075,42082,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Artsy,ORG,42202,42207,https://en.wikipedia.org/wiki/2024_Summer_Olympics
OPENING CEREMONY OF THE PARIS 2024,EVENT,42287,42321,https://en.wikipedia.org/wiki/2024_Summer_Olympics
26-07-24,DATE,42352,42360,https://en.wikipedia.org/wiki/2024_Summer_Olympics
PARIS 2024 ORGANISING COMMITTEE,EVENT,42370,42401,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Olympic World Library,ORG,42441,42462,https://en.wikipedia.org/wiki/2024_Summer_Olympics
3 September 2024,DATE,42494,42510,https://en.wikipedia.org/wiki/2024_Summer_Olympics
THE PARIS OLYMPICS,EVENT,42577,42595,https://en.wikipedia.org/wiki/2024_Summer_Olympics
the 2024,EVENT,42981,42989,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Cosmopolitan,ORG,43001,43013,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Thomas,PERSON,43103,43109,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Carly,PERSON,43111,43116,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Sim,PERSON,43336,43339,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Bernardo,PERSON,43341,43349,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Nicky Doll,WORK_OF_ART,43367,43377,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Out Magazine,ORG,43439,43451,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Tinoco,PERSON,43525,43531,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Armando,PERSON,43533,43540,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Kansas City Chiefs,ORG,43558,43576,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Harrison Butker,PERSON,43584,43599,https://en.wikipedia.org/wiki/2024_Summer_Olympics
European Olympic Committees,ORG,43848,43875,https://en.wikipedia.org/wiki/2024_Summer_Olympics
Tokyo,GPE,34,39,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Japan,GPE,41,46,https://en.wikipedia.org/wiki/2020_Summer_Olympics
EOR,ORG,119,122,https://en.wikipedia.org/wiki/2020_Summer_Olympics
ROC,ORG,127,130,https://en.wikipedia.org/wiki/2020_Summer_Olympics
23 July 2021,DATE,249,261,https://en.wikipedia.org/wiki/2020_Summer_Olympics
8 August 2021,DATE,276,289,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Summer Winter,EVENT,379,393,https://en.wikipedia.org/wiki/2020_Summer_Olympics
"The 2020 Summer Olympics,[d",EVENT,419,446,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Games of the XXXII Olympiad[e,EVENT,459,492,https://en.wikipedia.org/wiki/2020_Summer_Olympics
"Tokyo 2020,[f",EVENT,520,533,https://en.wikipedia.org/wiki/2020_Summer_Olympics
23 July to 8 August 2021,DATE,585,609,https://en.wikipedia.org/wiki/2020_Summer_Olympics
21 July 2021,DATE,685,697,https://en.wikipedia.org/wiki/2020_Summer_Olympics
IOC Session,EVENT,752,763,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Buenos Aires,GPE,767,779,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Argentina,GPE,781,790,https://en.wikipedia.org/wiki/2020_Summer_Olympics
7 September 2013.[3,DATE,794,813,https://en.wikipedia.org/wiki/2020_Summer_Olympics
24 July to 9 August 2020,DATE,855,879,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Tokyo Games,EVENT,881,896,https://en.wikipedia.org/wiki/2020_Summer_Olympics
2021,DATE,918,922,https://en.wikipedia.org/wiki/2020_Summer_Olympics
24 March 2020,DATE,926,939,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Olympic Games,EVENT,1031,1048,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Tokyo 2020,EVENT,1133,1143,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Greater Tokyo Area,LOC,1328,1350,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the 2020 Games,EVENT,1537,1551,https://en.wikipedia.org/wiki/2020_Summer_Olympics
The 2020 Games,EVENT,1628,1642,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Olympics,EVENT,1659,1667,https://en.wikipedia.org/wiki/2020_Summer_Olympics
1964,DATE,1703,1707,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Summer Olympics,EVENT,1708,1723,https://en.wikipedia.org/wiki/2020_Summer_Olympics
1972,DATE,1737,1741,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Winter Olympics,EVENT,1742,1757,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Sapporo,GPE,1759,1766,https://en.wikipedia.org/wiki/2020_Summer_Olympics
1998,DATE,1777,1781,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Nagano,GPE,1799,1805,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Asia,LOC,1839,1843,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Summer Olympic Games,EVENT,1852,1876,https://en.wikipedia.org/wiki/2020_Summer_Olympics
East Asia,LOC,1962,1971,https://en.wikipedia.org/wiki/2020_Summer_Olympics
2018,DATE,1987,1991,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Pyeongchang,GPE,2011,2022,https://en.wikipedia.org/wiki/2020_Summer_Olympics
South Korea,GPE,2024,2035,https://en.wikipedia.org/wiki/2020_Summer_Olympics
2022,DATE,2054,2058,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Beijing,GPE,2078,2085,https://en.wikipedia.org/wiki/2020_Summer_Olympics
China,GPE,2087,2092,https://en.wikipedia.org/wiki/2020_Summer_Olympics
one-year,DATE,2109,2117,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Olympic Games,EVENT,2155,2168,https://en.wikipedia.org/wiki/2020_Summer_Olympics
an odd-numbered year.[10,DATE,2192,2216,https://en.wikipedia.org/wiki/2020_Summer_Olympics
IOC,ORG,2468,2471,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Games,EVENT,2580,2585,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Japanese Olympic Committee,ORG,2612,2642,https://en.wikipedia.org/wiki/2020_Summer_Olympics
The United States,GPE,2840,2857,https://en.wikipedia.org/wiki/2020_Summer_Olympics
an Olympic Games,EVENT,3079,3095,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Great Britain,GPE,3112,3125,https://en.wikipedia.org/wiki/2020_Summer_Olympics
ROC,GPE,3217,3220,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Bermuda,GPE,3310,3317,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Philippines,GPE,3319,3334,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Qatar,GPE,3339,3344,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Burkina Faso,GPE,3399,3411,https://en.wikipedia.org/wiki/2020_Summer_Olympics
San Marino,GPE,3413,3423,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Turkmenistan,GPE,3428,3440,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Istanbul,GPE,3556,3564,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Madrid,GPE,3570,3576,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Baku,GPE,3602,3606,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Doha,GPE,3611,3615,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Rome,GPE,3666,3670,https://en.wikipedia.org/wiki/2020_Summer_Olympics
7 September 2013,DATE,3819,3835,https://en.wikipedia.org/wiki/2020_Summer_Olympics
IOC Session,ORG,3850,3861,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Turkey,GPE,4420,4426,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Spain,GPE,4455,4460,https://en.wikipedia.org/wiki/2020_Summer_Olympics
January 2020,DATE,4518,4530,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Summer Olympic Games.[20,EVENT,4633,4661,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the International Olympic Committee,ORG,4684,4719,https://en.wikipedia.org/wiki/2020_Summer_Olympics
2020,DATE,4861,4865,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Shinzo Abe,PERSON,4910,4920,https://en.wikipedia.org/wiki/2020_Summer_Olympics
next summer,DATE,4991,5002,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the 2016 Summer Olympics,EVENT,5068,5092,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Rio de Janeiro,GPE,5096,5110,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the 2010 Winter Olympics,EVENT,5336,5360,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Vancouver,GPE,5364,5373,https://en.wikipedia.org/wiki/2020_Summer_Olympics
December 2020.[23,DATE,5453,5470,https://en.wikipedia.org/wiki/2020_Summer_Olympics
February 2020,DATE,5477,5490,https://en.wikipedia.org/wiki/2020_Summer_Olympics
London,GPE,5515,5521,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Shaun Bailey,PERSON,5540,5552,https://en.wikipedia.org/wiki/2020_Summer_Olympics
2012,DATE,5626,5630,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Yuriko Koike,PERSON,5733,5745,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Bailey,PERSON,5757,5763,https://en.wikipedia.org/wiki/2020_Summer_Olympics
early 2021,DATE,5799,5809,https://en.wikipedia.org/wiki/2020_Summer_Olympics
U.S.,GPE,5828,5832,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Florida,GPE,5842,5849,https://en.wikipedia.org/wiki/2020_Summer_Olympics
John Coates,PERSON,5906,5917,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Tokyo Olympics,EVENT,5955,5973,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the National Institute of Infectious Diseases,ORG,6117,6162,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Kyoto University,ORG,6167,6183,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Ministry of Health,ORG,6284,6306,https://en.wikipedia.org/wiki/2020_Summer_Olympics
early 2020,DATE,6529,6539,https://en.wikipedia.org/wiki/2020_Summer_Olympics
February,DATE,6577,6585,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Belgrade,GPE,6766,6774,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Serbia,GPE,6776,6782,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Foshan,GPE,6795,6801,https://en.wikipedia.org/wiki/2020_Summer_Olympics
The Asia & Oceania boxing qualification tournament,EVENT,6814,6864,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Wuhan,GPE,6928,6933,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Amman,GPE,7029,7034,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Jordan,GPE,7036,7042,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the beginning of March.[31,DATE,7047,7073,https://en.wikipedia.org/wiki/2020_Summer_Olympics
14 March 2020,DATE,7291,7304,https://en.wikipedia.org/wiki/2020_Summer_Olympics
United Kingdom,GPE,7316,7330,https://en.wikipedia.org/wiki/2020_Summer_Olympics
two days,DATE,7356,7364,https://en.wikipedia.org/wiki/2020_Summer_Olympics
April 2021.[33][34,DATE,7409,7427,https://en.wikipedia.org/wiki/2020_Summer_Olympics
June 2021,DATE,7454,7463,https://en.wikipedia.org/wiki/2020_Summer_Olympics
"Paris, France,[35",GPE,7481,7498,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the United Kingdom,GPE,7543,7561,https://en.wikipedia.org/wiki/2020_Summer_Olympics
March to June 2020,DATE,7618,7636,https://en.wikipedia.org/wiki/2020_Summer_Olympics
later in the year,DATE,7665,7682,https://en.wikipedia.org/wiki/2020_Summer_Olympics
mid-2021,DATE,7687,7695,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the World Anti-Doping Agency,ORG,8315,8343,https://en.wikipedia.org/wiki/2020_Summer_Olympics
WADA,ORG,8345,8349,https://en.wikipedia.org/wiki/2020_Summer_Olympics
The China Anti-Doping Agency,ORG,8419,8447,https://en.wikipedia.org/wiki/2020_Summer_Olympics
CHINADA,ORG,8449,8456,https://en.wikipedia.org/wiki/2020_Summer_Olympics
3 February 2020,DATE,8491,8506,https://en.wikipedia.org/wiki/2020_Summer_Olympics
later that month.[38,DATE,8544,8564,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the end of March,DATE,8569,8585,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the United States,GPE,8616,8633,https://en.wikipedia.org/wiki/2020_Summer_Olympics
France,GPE,8635,8641,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Germany,GPE,8662,8669,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Zhang Yufei,PERSON,8954,8965,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Wang Shun,PERSON,8967,8976,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Qin Haiyang,PERSON,8982,8993,https://en.wikipedia.org/wiki/2020_Summer_Olympics
TOCOG,ORG,9197,9202,https://en.wikipedia.org/wiki/2020_Summer_Olympics
2 March 2020,DATE,9228,9240,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Tokyo Olympics,EVENT,9288,9302,https://en.wikipedia.org/wiki/2020_Summer_Olympics
23 March,DATE,9340,9348,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Canada,GPE,9355,9361,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Australia,GPE,9366,9375,https://en.wikipedia.org/wiki/2020_Summer_Olympics
a year.[41,DATE,9456,9466,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the same day,DATE,9471,9483,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Dick Pound,PERSON,9671,9681,https://en.wikipedia.org/wiki/2020_Summer_Olympics
122 days,DATE,9757,9765,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Abe,PERSON,9829,9832,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Paralympics,EVENT,9905,9916,https://en.wikipedia.org/wiki/2020_Summer_Olympics
summer 2021,DATE,9980,9991,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Thomas Bach,PERSON,10267,10278,https://en.wikipedia.org/wiki/2020_Summer_Olympics
30 March 2020,DATE,10490,10503,https://en.wikipedia.org/wiki/2020_Summer_Olympics
4 February 2022,DATE,10834,10849,https://en.wikipedia.org/wiki/2020_Summer_Olympics
less than six months later,DATE,10851,10877,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Here We Go,WORK_OF_ART,10987,10997,https://en.wikipedia.org/wiki/2020_Summer_Olympics
April 2020,DATE,11324,11334,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Yoshirō Mori,PERSON,11494,11506,https://en.wikipedia.org/wiki/2020_Summer_Olympics
29 April 2020,DATE,11595,11608,https://en.wikipedia.org/wiki/2020_Summer_Olympics
20 May 2020,DATE,11797,11808,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the summer of 2021.[51,DATE,11977,11999,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Mori,PERSON,12015,12019,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Bach,PERSON,12024,12028,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Advisory Committee,ORG,12119,12137,https://en.wikipedia.org/wiki/2020_Summer_Olympics
British Medical Journal,ORG,12179,12202,https://en.wikipedia.org/wiki/2020_Summer_Olympics
21 January 2021,DATE,12419,12434,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Yoshihide Suga,PERSON,12691,12705,https://en.wikipedia.org/wiki/2020_Summer_Olympics
19 February,DATE,12719,12730,https://en.wikipedia.org/wiki/2020_Summer_Olympics
G7,ORG,12740,12742,https://en.wikipedia.org/wiki/2020_Summer_Olympics
April 2021,DATE,12844,12854,https://en.wikipedia.org/wiki/2020_Summer_Olympics
just three months,DATE,12856,12873,https://en.wikipedia.org/wiki/2020_Summer_Olympics
May 2021,DATE,13527,13535,https://en.wikipedia.org/wiki/2020_Summer_Olympics
The Tokyo Medical Practitioners Association,ORG,13618,13661,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Kenji Utsunomiya,PERSON,14032,14048,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Jiro Akagawa[67][68,PERSON,14237,14256,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Fuminori Nakamura,PERSON,14262,14279,https://en.wikipedia.org/wiki/2020_Summer_Olympics
26 May 2021,DATE,14343,14354,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Asahi Shimbun,ORG,14356,14373,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Suga,PERSON,14475,14479,https://en.wikipedia.org/wiki/2020_Summer_Olympics
this summer,DATE,14572,14583,https://en.wikipedia.org/wiki/2020_Summer_Olympics
4 June,DATE,14593,14599,https://en.wikipedia.org/wiki/2020_Summer_Olympics
several months,DATE,14701,14715,https://en.wikipedia.org/wiki/2020_Summer_Olympics
July 2021,DATE,14959,14968,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Toyota,ORG,15467,15473,https://en.wikipedia.org/wiki/2020_Summer_Olympics
World War II,EVENT,15758,15770,https://en.wikipedia.org/wiki/2020_Summer_Olympics
March 2020,DATE,16116,16126,https://en.wikipedia.org/wiki/2020_Summer_Olympics
October 2022,DATE,16160,16172,https://en.wikipedia.org/wiki/2020_Summer_Olympics
May 2023,DATE,16239,16247,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the end of April of that year,DATE,16271,16300,https://en.wikipedia.org/wiki/2020_Summer_Olympics
less than two years,DATE,16302,16321,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Katsuhiro Miyamoto,PERSON,16436,16454,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Kansai University,ORG,16458,16475,https://en.wikipedia.org/wiki/2020_Summer_Olympics
NHK,ORG,16496,16499,https://en.wikipedia.org/wiki/2020_Summer_Olympics
one year,DATE,16557,16565,https://en.wikipedia.org/wiki/2020_Summer_Olympics
The Nomura Research Institute,ORG,16687,16716,https://en.wikipedia.org/wiki/2020_Summer_Olympics
The Tokyo Games,EVENT,17065,17080,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Lloyd's of London,ORG,17141,17158,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Swiss Re,ORG,17195,17203,https://en.wikipedia.org/wiki/2020_Summer_Olympics
each Summer Olympics,EVENT,17260,17280,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the 2020,EVENT,17324,17332,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Paralympic,ORG,17873,17883,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Reuters,ORG,18002,18009,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Tokyo Olympics Committee,ORG,18053,18081,https://en.wikipedia.org/wiki/2020_Summer_Olympics
June 2022,DATE,18549,18558,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Tokyo Organizing Committee,ORG,18560,18590,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Rio 2016.[83][2,EVENT,18780,18799,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Nippon News Network,ORG,19100,19123,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Yomiuri Shimbun,ORG,19128,19147,https://en.wikipedia.org/wiki/2020_Summer_Olympics
29 July,DATE,19647,19654,https://en.wikipedia.org/wiki/2020_Summer_Olympics
less than a week,DATE,19656,19672,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Masaki Kubota,PERSON,19700,19713,https://en.wikipedia.org/wiki/2020_Summer_Olympics
the Tokyo Paralympics,EVENT,20270,20291,https://en.wikipedia.org/wiki/2020_Summer_Olympics
Delta,PRODUCT,20379,20384,https://en.wikipedia.org/wiki/2020_Summer_Olympics
26 July,DATE,20397,20404,https://en.wikipedia.org/wiki/2020_Summer_Olympics
10 May,DATE,20497,20503,https://en.wikipedia.org/wiki/2020_Summer_Olympics
9 August,DATE,20508,20516,https://en.wikipedia.org/wiki/2020_Summer_Olympics
one day,DATE,20518,20525,https://en.wikipedia.org/wiki/2020_Summer_Olympics
daily,DATE,20556,20561,https://en.wikipedia.org/wiki/2020_Summer_Olympics
23 August,DATE,20667,20676,https://en.wikipedia.org/wiki/2020_Summer_Olympics
"Yoshirō Mori,[87",PERSON,20838,20854,https://en.wikipedia.org/wiki/2020_Summer_Olympics
